============================================================
  Method: bo
  Target: 1EVE
  Seed: 6
  Iterations: 500
  Output: paper/experiments/results_v3/1EVE/bo_seed6
============================================================
Target: 1EVE (AChE, Hydrolase)
Pocket residues: 76
Behavior dim: 229
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=9 res=9 vina=-10.3 t=28s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-8.7 t=53s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=5 res=5 vina=-7.3 t=75s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=3 res=3 vina=-6.7 t=103s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.9 t=129s
  [25/500] COC(=O)c1c(O)cc(O)cc1OC(=O)CCCN... int=8 res=8 vina=-8.3 t=619s
  [50/500] CC(CS)C(=O)N1CCCC1C(=O)O... int=8 res=8 vina=-6.9 t=1017s
  [75/500] COc1ccc2c(CC(N)C(=O)O)c[nH]c2c1... int=7 res=7 vina=-8.3 t=1408s
  [100/500] CC(CC(=O)O)C(=O)N1CCCC1C(=O)OCCO... int=7 res=7 vina=-8.1 t=1811s
  [125/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)NO... int=7 res=6 vina=-8.4 t=2226s
  [150/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)NO... int=7 res=6 vina=-8.4 t=2626s
  [175/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)NO... int=7 res=6 vina=-8.4 t=3033s
  [200/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)NO... int=7 res=6 vina=-8.4 t=3445s
  [225/500] CC(CC(=O)O)C(=O)N1CCCC1C(=O)OCCO... int=7 res=7 vina=-8.1 t=3859s
  [250/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)NO... int=7 res=6 vina=-8.4 t=4302s
  [275/500] NC(Cc1cnc[nH]1)C(=O)O... int=0 res=0 vina=-5.9 t=4690s
  [300/500] NC(Cc1c[nH]c2ccccc12)C(=O)O... int=0 res=0 vina=-8.7 t=5083s
  [325/500] NC(Cc1ccccc1)C(=O)O... int=0 res=0 vina=-7.3 t=5464s
  [350/500] CC(CS)C(=O)N1CCCC1C(=O)OCCO... int=6 res=6 vina=-7.3 t=5878s
  [375/500] CC(CC(=O)NO)C(=O)N1CCCC1C(=O)OCCO... int=13 res=11 vina=-8.5 t=6332s
  [400/500] NC(Cc1c[nH]c2ccccc12)C(=O)O... int=0 res=0 vina=-8.7 t=6733s
  [425/500] O=C(O)c1cccc(OC(F)(F)F)c1... int=2 res=2 vina=-7.5 t=7155s
  [450/500] COc1cc(C=CC(=O)O)ccc1O... int=5 res=5 vina=-7.9 t=7593s
  [475/500] N=C(N)NCCCC(N)C(=O)O... int=0 res=0 vina=-6.1 t=8056s
  [500/500] O=C(O)c1ccc(O)c(O)c1... int=5 res=5 vina=-6.9 t=8544s

Results → paper/experiments/results_v3/1EVE/bo_seed6/results.json
Total: 8544s (17.1s/iter)
