============================================================
  Method: bo
  Target: 1EVE
  Seed: 0
  Iterations: 500
  Output: paper/experiments/results_v3/1EVE/bo_seed0
============================================================
Target: 1EVE (AChE, Hydrolase)
Pocket residues: 76
Behavior dim: 229
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=9 res=9 vina=-10.3 t=24s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-8.7 t=51s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=5 res=5 vina=-7.3 t=73s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=3 res=3 vina=-6.7 t=102s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.9 t=123s
  [25/500] O=C(O)CC(O)(CC(=O)O)C(=O)O... int=8 res=8 vina=-6.6 t=642s
  [50/500] OCC1OC(O)C(O)C(O)C1O... int=4 res=3 vina=-6.6 t=1323s
  [75/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-7.8 t=1862s
  [100/500] O=C(O)CC(O)(CC(=O)O)C(=O)O... int=8 res=8 vina=-6.6 t=2248s
  [125/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-7.8 t=2667s
  [150/500] OCC1OC(O)C(O)C(O)C1O... int=4 res=3 vina=-6.6 t=3092s
  [175/500] OCC1OC(O)C(O)C(O)C1O... int=4 res=3 vina=-6.6 t=3518s
  [200/500] O=C(O)CC(O)(CC(=O)O)C(=O)O... int=8 res=8 vina=-6.6 t=3949s
  [225/500] OCC1OC(O)C(O)C(O)C1O... int=4 res=3 vina=-6.6 t=4380s
  [250/500] OCC1OC(O)C(O)C(O)C1O... int=4 res=3 vina=-6.6 t=4816s
  [275/500] O=C(O)CC(O)(CC(=O)O)C(=O)O... int=8 res=8 vina=-6.6 t=5256s
  [300/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-7.8 t=5707s
  [325/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-7.8 t=6152s
  [350/500] OCC1OC(O)C(O)C(O)C1O... int=4 res=3 vina=-6.6 t=6584s
  [375/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-7.8 t=7037s
  [400/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-7.8 t=7486s
  [425/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-7.8 t=7949s
  [450/500] OCC1OC(O)C(O)C(O)C1O... int=4 res=3 vina=-6.6 t=8413s
  [475/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-7.8 t=8907s
  [500/500] OCC1OC(O)C(O)C(O)C1O... int=4 res=3 vina=-6.6 t=9428s

Results → paper/experiments/results_v3/1EVE/bo_seed0/results.json
Total: 9428s (18.9s/iter)
