============================================================
  Method: bo
  Target: 3V8D
  Seed: 8
  Iterations: 500
  Output: paper/experiments/results_v3/3V8D/bo_seed8
============================================================
Target: 3V8D (Thrombin, Serine protease)
Pocket residues: 95
Behavior dim: 286
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=10 res=9 vina=-9.1 t=16s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-6.8 t=31s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=8 res=6 vina=-6.8 t=45s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=7 res=5 vina=-6.1 t=59s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.0 t=73s
  [25/500] CCOC(=O)c1c(O)cc(O)cc1OC(C)=O... int=6 res=5 vina=-6.3 t=369s
  [50/500] CC(C(=O)O)c1ccc(C(C)C(=O)O)cc1... int=9 res=8 vina=-6.5 t=720s
  [75/500] CC(C(=O)O)c1ccc(C(=N)N)cc1... int=6 res=6 vina=-6.5 t=1062s
  [100/500] COc1ccc(C(C)C(=O)O)cc1... int=4 res=4 vina=-6.0 t=1401s
  [125/500] NC(=O)CC(N)C(=O)O... int=0 res=0 vina=-4.9 t=1709s
  [150/500] CSCC(N)C(=O)O... int=2 res=2 vina=-4.3 t=2027s
  [175/500] CC(CS)C(=O)N1CCCC1C(=O)O... int=5 res=5 vina=-5.6 t=2337s
  [200/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)NO... int=8 res=8 vina=-6.6 t=2705s
  [225/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)NO... int=8 res=8 vina=-6.6 t=3084s
  [250/500] CC(CC(N)=O)C(=O)N1CCCC1C(=O)OCCO... int=8 res=8 vina=-6.3 t=3475s
  [275/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)NO... int=8 res=8 vina=-6.6 t=3865s
  [300/500] CC(CC(N)=O)C(=O)N1CCCC1C(=O)OCCO... int=8 res=8 vina=-6.3 t=4261s
  [325/500] CC(CC(=O)O)C(=O)N1CCCC1C(=O)OCCO... int=8 res=8 vina=-6.4 t=4622s
  [350/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)NO... int=8 res=8 vina=-6.6 t=5026s
  [375/500] CC(CC(=O)O)C(=O)N1CCCC1C(=O)OCCO... int=8 res=8 vina=-6.4 t=5453s
  [400/500] CC(CC(N)=O)C(=O)N1CCCC1C(=O)OCCO... int=8 res=8 vina=-6.3 t=5907s
  [425/500] CC(CC(=O)O)C(=O)N1CCCC1C(=O)OCCO... int=8 res=8 vina=-6.4 t=6388s
  [450/500] CC(CC(=O)O)C(=O)N1CCCC1C(=O)OCCO... int=8 res=8 vina=-6.4 t=6929s
  [475/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)NO... int=8 res=8 vina=-6.6 t=7486s
  [500/500] CC(CC(N)=O)C(=O)N1CCCC1C(=O)OCCO... int=8 res=8 vina=-6.3 t=8088s

Results → paper/experiments/results_v3/3V8D/bo_seed8/results.json
Total: 8088s (16.2s/iter)
