============================================================
  Method: bo
  Target: 3V8D
  Seed: 4
  Iterations: 500
  Output: paper/experiments/results_v3/3V8D/bo_seed4
============================================================
Target: 3V8D (Thrombin, Serine protease)
Pocket residues: 95
Behavior dim: 286
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=10 res=9 vina=-9.1 t=15s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-6.8 t=27s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=8 res=6 vina=-6.8 t=38s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=7 res=5 vina=-6.1 t=50s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.0 t=62s
  [25/500] CC(=O)Oc1cc(O)cc(C(=O)O)c1OC(C)=O... int=5 res=5 vina=-6.6 t=355s
  [50/500] O=C(O)CNC(=O)c1ccccc1... int=8 res=7 vina=-6.9 t=791s
  [75/500] OCCCc1ccccc1... int=7 res=7 vina=-5.7 t=1149s
  [100/500] O=C(O)CC(O)(CC(=O)O)C(=O)O... int=3 res=3 vina=-6.0 t=1545s
  [125/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-6.3 t=1958s
  [150/500] OCC1OC(O)C(O)C(O)C1O... int=5 res=5 vina=-6.3 t=2367s
  [175/500] OCC1OC(O)C(O)C(O)C1O... int=5 res=5 vina=-6.3 t=2773s
  [200/500] O=C(O)CC(O)(CC(=O)O)C(=O)O... int=3 res=3 vina=-6.0 t=3180s
  [225/500] OCC1OC(O)C(O)C(O)C1O... int=5 res=5 vina=-6.3 t=3589s
  [250/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-6.3 t=3989s
  [275/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-6.3 t=4398s
  [300/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-6.3 t=4800s
  [325/500] OCC1OC(O)C(O)C(O)C1O... int=5 res=5 vina=-6.3 t=5198s
  [350/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-6.3 t=5594s
  [375/500] OCC1OC(O)C(O)C(O)C1O... int=5 res=5 vina=-6.3 t=6048s
  [400/500] OCC1OC(O)C(O)C(O)C1O... int=5 res=5 vina=-6.3 t=6494s
  [425/500] O=C(O)CC(O)(CC(=O)O)C(=O)O... int=3 res=3 vina=-6.0 t=6942s
  [450/500] OCC1OC(O)C(O)C(O)C1O... int=5 res=5 vina=-6.3 t=7429s
  [475/500] OCC1OC(O)C(O)C(O)C1O... int=5 res=5 vina=-6.3 t=7994s
  [500/500] OCC1OC(O)C(O)C(O)C1O... int=5 res=5 vina=-6.3 t=8557s

Results → paper/experiments/results_v3/3V8D/bo_seed4/results.json
Total: 8557s (17.1s/iter)
