============================================================
  Method: curiosity
  Target: 1EVE
  Seed: 0
  Iterations: 500
  Output: paper/experiments/results_v3/1EVE/curiosity_seed0
============================================================
Target: 1EVE (AChE, Hydrolase)
Pocket residues: 76
Behavior dim: 229
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=9 res=9 vina=-10.3 t=13s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-8.7 t=26s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=5 res=5 vina=-7.3 t=38s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=3 res=3 vina=-6.7 t=52s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.9 t=63s
  [25/500] O=Cc1ccc(C(=O)O)c(O)c1... int=5 res=5 vina=-7.1 t=360s
  [50/500] CC(O)c1cccc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3... int=5 res=5 vina=-11.1 t=709s
  [75/500] CC(=O)CCC(=O)c1ccc(CCC(=O)O)cc1... int=7 res=7 vina=-8.8 t=1040s
  [100/500] CC(=O)Oc1cc(O)cc(O)c1C(=O)O... int=5 res=5 vina=-7.8 t=1412s
  [125/500] CCOC(=O)C1N2C(=O)C(NC(=O)Cc3cccc(C(C)C)c... int=5 res=5 vina=-10.6 t=1781s
  [150/500] CCOC(=O)C1N2C(=O)C(NC(=O)Cc3cccc(OC(F)(F... int=4 res=4 vina=-10.5 t=2235s
  [175/500] COc1ccc(Cl)cc1O... int=4 res=4 vina=-6.2 t=2871s
  [200/500] CCCC(=O)Oc1ccc(N)cc1C(=O)O... int=6 res=6 vina=-8.1 t=3539s
  [225/500] CC(=O)Oc1ccc(O)cc1O... int=4 res=4 vina=-6.7 t=4231s
  [250/500] CCOC(=O)C1N2C(=O)C(NC(=O)Cc3cccc(C=CC(=O... int=7 res=7 vina=-10.4 t=4636s
  [275/500] O=S(=O)(O)c1ccc(O)cc1[S-]... int=4 res=4 vina=-6.9 t=5041s
  [300/500] Nc1ccc2c(c1)C(=O)N(CC(=O)O)C2=O... int=4 res=4 vina=-8.6 t=5442s
  [325/500] COc1cc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)... int=11 res=11 vina=-11.3 t=5880s
  [350/500] CC1(C)SC2C(NC(=O)Cc3ccc(Cl)cc3)C(=O)N2C1... int=8 res=8 vina=-10.6 t=6275s
  [375/500] COC(=O)c1ccc(S(=O)(=O)O)cc1... int=5 res=4 vina=-7.3 t=6691s
  [400/500] CC(C)(O)c1ccc(S(=O)(=O)O)c([S-])c1... int=7 res=7 vina=-8.0 t=7085s
  [425/500] CC(=O)Oc1ccc(NC=O)cc1... int=4 res=4 vina=-6.7 t=7475s
  [450/500] O=C(O)CN1C(=O)c2ccc(-c3ccccc3)cc2C1=O... int=5 res=5 vina=-10.7 t=7857s
  [475/500] CCOC(=O)c1c(OC)cc(OC)cc1OC(C)=O... int=5 res=5 vina=-7.4 t=8232s
  [500/500] CC(C)(O)c1ccc(S(N)(=O)=O)c([S-])c1... int=8 res=8 vina=-7.8 t=8608s

Results → paper/experiments/results_v3/1EVE/curiosity_seed0/results.json
Total: 8608s (17.2s/iter)
