============================================================
  Method: random
  Target: 3V8D
  Seed: 3
  Iterations: 500
  Output: paper/experiments/results_v3/3V8D/random_seed3
============================================================
Target: 3V8D (Thrombin, Serine protease)
Pocket residues: 95
Behavior dim: 286
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=10 res=9 vina=-9.1 t=24s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-6.8 t=41s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=8 res=6 vina=-6.8 t=57s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=7 res=5 vina=-6.1 t=71s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.0 t=83s
  [25/500] CC1(C)SC2C(NC(=O)Cc3cccc(O)c3)C(=O)N2C1C... int=7 res=7 vina=-8.8 t=357s
  [50/500] CC(=O)Oc1cc(F)ccc1C(=O)O... int=7 res=6 vina=-7.0 t=681s
  [75/500] COc1cc(C=CC(=O)O)ccc1C(=O)O... int=4 res=4 vina=-6.9 t=1011s
  [100/500] CC(=O)CCC(=O)c1ccc(OC(C)=O)cc1... int=9 res=8 vina=-6.7 t=1365s
  [125/500] CN(C)c1ccc(C(C)(C)O)cc1... int=7 res=7 vina=-5.7 t=1725s
  [150/500] O=C(O)CNC(=O)c1ccc(C(=O)O)cc1... int=6 res=5 vina=-7.7 t=2058s
  [175/500] CC(C)C(N)C(=O)O... int=0 res=0 vina=-4.9 t=2408s
  [200/500] CCCC(=O)Oc1ccc(N)cc1C(=O)O... int=5 res=5 vina=-6.7 t=2763s
  [225/500] COc1cc(C=O)ccc1O... int=3 res=3 vina=-5.8 t=3111s
  [250/500] CC(C(=O)O)c1ccc(C(=O)CCl)cc1... int=7 res=7 vina=-6.3 t=3439s
  [275/500] CCOC(=O)C(N)CC(C)C... int=9 res=8 vina=-5.3 t=3789s
  [300/500] CCOC(=O)c1cc2cc(OC)cc(OC)c2oc1=O... int=5 res=5 vina=-6.7 t=4133s
  [325/500] CC(N)Cc1ccc(O)c(O)c1... int=6 res=6 vina=-6.4 t=4495s
  [350/500] CCOC(=O)C(N)Cc1c[nH]c2cc(OC)ccc12... int=8 res=7 vina=-7.5 t=4855s
  [375/500] NC(=O)CCC(N)C(=O)O... int=0 res=0 vina=-5.1 t=5187s
  [400/500] CCOC(=O)c1ccc(C(=O)O)cc1OC(C)=O... int=4 res=3 vina=-6.2 t=5527s
  [425/500] CC(=O)CCC(=O)c1ccc(Br)cc1... int=6 res=6 vina=-6.8 t=5843s
  [450/500] COC(=O)c1ccc(C(C)=O)cc1OC(C)=O... int=4 res=4 vina=-5.8 t=6164s
  [475/500] CC1(C)SC2C(NC(=O)Cc3ccc(O)cc3)C(=O)N2C1C... int=11 res=10 vina=-8.9 t=6504s
  [500/500] NC(CCC(=O)O)C(=O)O... int=0 res=0 vina=-5.3 t=6839s

Results → paper/experiments/results_v3/3V8D/random_seed3/results.json
Total: 6839s (13.7s/iter)
