============================================================
  Method: bo
  Target: 1EVE
  Seed: 8
  Iterations: 500
  Output: paper/experiments/results_v3/1EVE/bo_seed8
============================================================
Target: 1EVE (AChE, Hydrolase)
Pocket residues: 76
Behavior dim: 229
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=9 res=9 vina=-10.3 t=25s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-8.7 t=50s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=5 res=5 vina=-7.3 t=65s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=3 res=3 vina=-6.7 t=80s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.9 t=95s
  [25/500] CCOC(=O)C(N)CCC(=O)c1ccc(CC(N)C(=O)O)cc1... int=11 res=11 vina=-9.3 t=415s
  [50/500] O=C(O)C=Cc1ccc(C(=O)Nc2ccccc2)cc1... int=4 res=4 vina=-9.8 t=797s
  [75/500] CC(C)Cc1ccc(-c2cc(O)cc(C(C)(C)O)c2)cc1... int=8 res=8 vina=-10.5 t=1200s
  [100/500] COc1ccc(OCC(O)CNC(C)C)cc1... int=6 res=6 vina=-7.5 t=1594s
  [125/500] COc1ccc(OCC(O)CNC(C)C)cc1... int=6 res=6 vina=-7.5 t=1989s
  [150/500] COc1ccc(N=Nc2ccc(OC)c(O)c2)cc1... int=5 res=4 vina=-8.3 t=2364s
  [175/500] COc1ccc(N=Nc2ccc(O)c(OC)c2)cc1... int=4 res=4 vina=-8.3 t=2737s
  [200/500] COc1ccc(OCC(O)CNC(C)C)cc1... int=6 res=6 vina=-7.5 t=3122s
  [225/500] COc1ccc(N=Nc2ccc(C(=O)O)cc2)cc1... int=6 res=6 vina=-8.7 t=3530s
  [250/500] COc1ccc(C=Cc2ccccc2)cc1... int=3 res=3 vina=-8.8 t=3931s
  [275/500] COc1ccc(N=Nc2ccc(OC)c(O)c2)cc1... int=5 res=4 vina=-8.3 t=4339s
  [300/500] COc1ccc(N=Nc2ccc(OC)c(O)c2)cc1... int=5 res=4 vina=-8.3 t=4749s
  [325/500] CN(C)c1ccc(C=Cc2ccc(NC=O)cc2)cc1... int=5 res=5 vina=-9.1 t=5171s
  [350/500] COc1ccc(NC(=O)c2ccccc2)cc1... int=4 res=4 vina=-8.6 t=5622s
  [375/500] COc1ccc(-c2cccc(C(C)O)c2)cc1... int=5 res=5 vina=-9.1 t=6077s
  [400/500] COc1ccc(N=Nc2ccc(O)cc2)cc1... int=5 res=5 vina=-8.2 t=6563s
  [425/500] COc1ccc(N=Nc2ccc(C(=O)O)cc2)cc1... int=6 res=6 vina=-8.7 t=7058s
  [450/500] COc1ccc(N=Nc2ccc(OC)c(O)c2)cc1... int=5 res=4 vina=-8.3 t=7604s
  [475/500] COc1ccc(NC(=O)c2ccccc2)cc1... int=4 res=4 vina=-8.6 t=8187s
  [500/500] COc1ccc(OCC(=O)NC2CCCCC2)cc1... int=7 res=7 vina=-8.6 t=8845s

Results → paper/experiments/results_v3/1EVE/bo_seed8/results.json
Total: 8845s (17.7s/iter)
