============================================================
  Method: imgep_naive
  Target: 3PJC
  Seed: 6
  Iterations: 500
  Output: paper/experiments/results_v3/3PJC/imgep_naive_seed6
============================================================
Target: 3PJC (CDK2, Kinase)
Pocket residues: 60
Behavior dim: 181
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=5 res=5 vina=-8.6 t=17s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=8 res=8 vina=-7.7 t=31s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=7 res=7 vina=-6.7 t=45s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=9 res=9 vina=-6.2 t=63s
  [5/500] OC(=O)c1ccccc1O... int=6 res=6 vina=-6.1 t=74s
  [25/500] CC(N)c1ccc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3C... int=10 res=9 vina=-9.8 t=467s
  [50/500] CCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccc(C(C)=O)c... int=10 res=9 vina=-8.5 t=949s
  [75/500] CC(=O)c1ccc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3... int=9 res=8 vina=-9.5 t=1471s
  [100/500] N=C(N)c1ccc(CCC(=O)O)cc1... int=9 res=8 vina=-7.1 t=1960s
  [125/500] CC1(C)SC2C(NC(=O)Cc3ccc(-c4cccc(C=CC(=O)... int=10 res=9 vina=-11.2 t=2503s
  [150/500] CC(O)c1cc(O)cc(-c2ccc(CC(=O)NC3C(=O)N4C3... int=7 res=7 vina=-10.5 t=3039s
  [175/500] CC(N)Cc1cccc(-c2ccc(OCC(=O)NC3C(=O)N4C3S... int=15 res=13 vina=-10.2 t=3618s
  [200/500] CC(=O)N1CCN(c2ccc(OCC(=O)NC3C(=O)N4C3SC(... int=8 res=8 vina=-9.7 t=4230s
  [225/500] CC(=O)N1CCN(c2ccc(OCC(=O)NC3C(=O)N4C3SC(... int=8 res=8 vina=-9.7 t=4821s
  [250/500] CC1(C)SC2C(NC(=O)COc3ccc(-c4cccc(C=CC(=O... int=14 res=13 vina=-10.0 t=5458s
  [275/500] CC(C)c1cccc(-c2ccc(OCC(=O)NC3C(=O)N4C3SC... int=8 res=8 vina=-10.0 t=6074s
  [300/500] CC(C)NCC(O)COc1ccc(OCC(=O)NC2C(=O)N3C2SC... int=11 res=9 vina=-8.6 t=6679s
  [325/500] CC1(C)SC2C(NC(=O)COc3ccc(-c4cccc(C(=O)O)... int=9 res=9 vina=-10.8 t=7308s
  [350/500] CCOC(=O)C1N2C(=O)C(NC(=O)COc3ccc(C(=O)NC... int=10 res=9 vina=-9.2 t=7914s
  [375/500] CC(=O)N1CCN(c2ccc(OCC(=O)NC3C(=O)N4C3SC(... int=8 res=8 vina=-9.7 t=8529s
  [400/500] CC(C)c1cccc(NC(=O)CCCCCC(=O)NC2C(=O)N3C2... int=9 res=9 vina=-8.9 t=9138s
  [425/500] CC1(C)SC2C(NC(=O)CCCCCC(=O)Nc3cccc(CO)c3... int=13 res=10 vina=-9.3 t=9791s
  [450/500] CC(C)NCC(O)COc1ccc(OCC(=O)NC2C(=O)N3C2SC... int=11 res=9 vina=-8.6 t=10465s
  [475/500] CC(C)Cc1cccc(CNC(=O)CCCCC(=O)NC2C(=O)N3C... int=9 res=8 vina=-9.5 t=11134s
  [500/500] CC1(C)SC2C(NC(=O)Cc3ccc(C=Cc4ccccc4)cc3)... int=13 res=12 vina=-10.8 t=11795s

Results → paper/experiments/results_v3/3PJC/imgep_naive_seed6/results.json
Total: 11795s (23.6s/iter)
