============================================================
  Method: imgep
  Target: 1EVE
  Seed: 3
  Iterations: 500
  Output: paper/experiments/results_v3/1EVE/imgep_seed3
============================================================
Target: 1EVE (AChE, Hydrolase)
Pocket residues: 76
Behavior dim: 229
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=9 res=9 vina=-10.3 t=13s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-8.7 t=25s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=5 res=5 vina=-7.3 t=37s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=3 res=3 vina=-6.7 t=51s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.9 t=63s
  [25/500] COC(=O)c1ccc(C(=O)O)cc1OC(C)=O... int=5 res=5 vina=-8.0 t=334s
  [50/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=5 res=5 vina=-7.8 t=700s
  [75/500] CC(C)Cc1ccc(F)cc1... int=3 res=3 vina=-7.3 t=1062s
  [100/500] CC(=O)Oc1ccc(N)cc1C(=O)O... int=4 res=3 vina=-7.5 t=1416s
  [125/500] CC(=O)Nc1ccccc1... int=4 res=4 vina=-6.5 t=1777s
  [150/500] CCCCC(=O)Oc1ccc(C(N)=O)cc1C(=O)OC... int=6 res=6 vina=-8.7 t=2135s
  [175/500] CC(=O)Oc1ccc(Cl)cc1C(=O)O... int=5 res=5 vina=-7.4 t=2499s
  [200/500] CC(=O)c1ccc(C(=O)O)c(O)c1... int=7 res=7 vina=-7.6 t=2883s
  [225/500] CC1(C)SC2C(NC(=O)Cc3cccc(N)c3)C(=O)N2C1C... int=7 res=7 vina=-9.9 t=3248s
  [250/500] COc1ccc(N=Nc2ccc(F)cc2)cc1... int=4 res=4 vina=-8.1 t=3646s
  [275/500] CCCC(=O)Oc1cc(Cl)cc(O)c1C(=O)O... int=5 res=5 vina=-8.3 t=4034s
  [300/500] COC(=O)c1ccc(C=O)cc1OC(=O)CCCC(=O)O... int=6 res=6 vina=-8.3 t=4443s
  [325/500] CCOC(=O)c1c(O)cc(Cl)cc1OC(C)=O... int=6 res=5 vina=-7.5 t=4822s
  [350/500] CCCC(=O)Oc1cc(NC(N)=S)cc(O)c1C(=O)OC... int=6 res=6 vina=-8.8 t=5210s
  [375/500] CCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1... int=5 res=5 vina=-9.5 t=5602s
  [400/500] CCCC(=O)Oc1cc(O)cc(O)c1C(=O)O... int=7 res=7 vina=-8.3 t=5975s
  [425/500] Oc1cccc(-c2ccc(O)c(O)c2)c1... int=6 res=5 vina=-9.5 t=6357s
  [450/500] COc1cc(C=CC(=O)O)ccc1O... int=5 res=5 vina=-7.9 t=6730s
  [475/500] Nc1cc(Cl)cc(NC=O)c1... int=4 res=4 vina=-6.6 t=7103s
  [500/500] CCOC(=O)c1cc(C=O)ccc1OC(=O)CCCO... int=7 res=6 vina=-7.9 t=7589s

Results → paper/experiments/results_v3/1EVE/imgep_seed3/results.json
Total: 7589s (15.2s/iter)
