============================================================
  Method: bo
  Target: 3V8D
  Seed: 7
  Iterations: 500
  Output: paper/experiments/results_v3/3V8D/bo_seed7
============================================================
Target: 3V8D (Thrombin, Serine protease)
Pocket residues: 95
Behavior dim: 286
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=10 res=9 vina=-9.1 t=16s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-6.8 t=31s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=8 res=6 vina=-6.8 t=44s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=7 res=5 vina=-6.1 t=57s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.0 t=71s
  [25/500] COc1cc(-c2ccc(C(C)N)cc2)cc(OC(C)=O)c1OC... int=4 res=4 vina=-7.9 t=369s
  [50/500] COc1cc(-c2ccc(C(=N)N)cc2)cc(OC)c1OC... int=4 res=4 vina=-7.3 t=746s
  [75/500] NC(CO)C(=O)O... int=0 res=0 vina=-4.3 t=1105s
  [100/500] O=C(O)CCC(=O)O... int=5 res=4 vina=-4.7 t=1431s
  [125/500] O=C(O)CCc1ccccc1... int=7 res=7 vina=-6.2 t=1751s
  [150/500] CC(CC(=O)O)C(=O)O... int=3 res=3 vina=-4.9 t=2069s
  [175/500] NC(CC(=O)O)C(=O)O... int=0 res=0 vina=-5.0 t=2406s
  [200/500] NC(CCC(=O)O)C(=O)O... int=0 res=0 vina=-5.3 t=2741s
  [225/500] CC(C)c1ccc(O)c(O)c1... int=4 res=4 vina=-6.4 t=3076s
  [250/500] CC(=O)CCC(=O)O... int=4 res=4 vina=-4.7 t=3414s
  [275/500] NC(CC(=O)O)C(=O)O... int=0 res=0 vina=-5.0 t=3748s
  [300/500] CC(=O)NCC(=O)O... int=4 res=3 vina=-4.6 t=4090s
  [325/500] CC(=O)NCC(=O)O... int=4 res=3 vina=-4.6 t=4432s
  [350/500] O=C(O)CCc1ccccc1... int=7 res=7 vina=-6.2 t=4773s
  [375/500] CC(=O)NCC(=O)O... int=4 res=3 vina=-4.6 t=5121s
  [400/500] NC(CCCC(=O)O)C(=O)O... int=6 res=5 vina=-5.7 t=5471s
  [425/500] NC(CCC(=O)O)C(=O)O... int=0 res=0 vina=-5.3 t=5847s
  [450/500] CC(N)Cc1ccc(O)c(O)c1... int=6 res=6 vina=-6.4 t=6259s
  [475/500] CC(CC(=O)O)C(=O)O... int=3 res=3 vina=-4.9 t=6657s
  [500/500] NC(CC(=O)O)C(=O)O... int=0 res=0 vina=-5.0 t=7088s

Results → paper/experiments/results_v3/3V8D/bo_seed7/results.json
Total: 7088s (14.2s/iter)
