============================================================
  Method: bo
  Target: 4MNE
  Seed: 8
  Iterations: 500
  Output: paper/experiments/results_v3/4MNE/bo_seed8
============================================================
Target: 4MNE (BRAF, Kinase)
Pocket residues: 68
Behavior dim: 205
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=5 res=5 vina=-7.8 t=14s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=8 res=8 vina=-7.8 t=28s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=4 res=4 vina=-6.1 t=44s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=8 res=6 vina=-6.2 t=58s
  [5/500] OC(=O)c1ccccc1O... int=8 res=6 vina=-6.2 t=73s
  [25/500] CC(O)c1ccc(C(=O)O)c(O)c1... int=4 res=4 vina=-7.2 t=388s
  [50/500] CC(C)CC(N)C(=O)O... int=0 res=0 vina=-5.3 t=726s
  [75/500] COC(=O)c1c(O)cc(F)cc1O... int=4 res=3 vina=-6.5 t=1053s
  [100/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=1390s
  [125/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=1698s
  [150/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=2006s
  [175/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=2314s
  [200/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=2631s
  [225/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=2954s
  [250/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=3271s
  [275/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=3593s
  [300/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=3925s
  [325/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=4258s
  [350/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=4602s
  [375/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=4946s
  [400/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=5280s
  [425/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=5603s
  [450/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=5917s
  [475/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=6253s
  [500/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=6611s

Results → paper/experiments/results_v3/4MNE/bo_seed8/results.json
Total: 6611s (13.2s/iter)
